model,rank,true_label,predicted_label,error_count,percentage_of_model_errors
Baseline CNN,1,Lactarius,Boletus,35,4.922644163150492
Baseline CNN,2,Russula,Lactarius,30,4.219409282700422
Baseline CNN,3,Russula,Boletus,26,3.6568213783403656
Baseline CNN,4,Lactarius,Russula,24,3.375527426160337
Baseline CNN,5,Cortinarius,Boletus,24,3.375527426160337
Baseline CNN,6,Amanita,Lactarius,21,2.9535864978902953
Baseline CNN,7,Lactarius,Cortinarius,21,2.9535864978902953
Baseline CNN,8,Boletus,Lactarius,18,2.5316455696202533
Baseline CNN,9,Boletus,Cortinarius,18,2.5316455696202533
Baseline CNN,10,Russula,Cortinarius,18,2.5316455696202533
Baseline CNN,11,Amanita,Russula,17,2.390998593530239
Baseline CNN,12,Amanita,Boletus,15,2.109704641350211
Baseline CNN,13,Inocybe,Cortinarius,15,2.109704641350211
Baseline CNN,14,Lactarius,Suillus,14,1.969057665260197
Baseline CNN,15,Cortinarius,Russula,13,1.8284106891701828
Baseline CNN,16,Cortinarius,Lactarius,13,1.8284106891701828
Baseline CNN,17,Inocybe,Lactarius,13,1.8284106891701828
Baseline CNN,18,Suillus,Lactarius,12,1.6877637130801686
Baseline CNN,19,Lactarius,Agaricus,12,1.6877637130801686
Baseline CNN,20,Suillus,Cortinarius,11,1.5471167369901548
Baseline CNN,21,Exidia,Inocybe,11,1.5471167369901548
Baseline CNN,22,Entoloma,Lactarius,11,1.5471167369901548
Baseline CNN,23,Lactarius,Amanita,10,1.4064697609001406
Baseline CNN,24,Hygrocybe,Cortinarius,10,1.4064697609001406
Baseline CNN,25,Russula,Agaricus,10,1.4064697609001406
Baseline CNN,26,Amanita,Agaricus,9,1.2658227848101267
Baseline CNN,27,Agaricus,Lactarius,9,1.2658227848101267
Baseline CNN,28,Amanita,Cortinarius,9,1.2658227848101267
Baseline CNN,29,Agaricus,Cortinarius,9,1.2658227848101267
Baseline CNN,30,Russula,Amanita,9,1.2658227848101267
Baseline CNN,31,Agaricus,Amanita,9,1.2658227848101267
Baseline CNN,32,Suillus,Boletus,8,1.1251758087201125
Baseline CNN,33,Inocybe,Russula,8,1.1251758087201125
Baseline CNN,34,Hygrocybe,Boletus,8,1.1251758087201125
Baseline CNN,35,Entoloma,Boletus,8,1.1251758087201125
Baseline CNN,36,Cortinarius,Suillus,7,0.9845288326300985
Baseline CNN,37,Hygrocybe,Lactarius,7,0.9845288326300985
Baseline CNN,38,Inocybe,Suillus,7,0.9845288326300985
Baseline CNN,39,Agaricus,Russula,7,0.9845288326300985
Baseline CNN,40,Boletus,Russula,6,0.8438818565400843
Baseline CNN,41,Exidia,Lactarius,6,0.8438818565400843
Baseline CNN,42,Entoloma,Amanita,6,0.8438818565400843
Baseline CNN,43,Entoloma,Cortinarius,6,0.8438818565400843
Baseline CNN,44,Suillus,Russula,6,0.8438818565400843
Baseline CNN,45,Russula,Entoloma,5,0.7032348804500703
Baseline CNN,46,Entoloma,Russula,5,0.7032348804500703
Baseline CNN,47,Inocybe,Boletus,5,0.7032348804500703
Baseline CNN,48,Russula,Inocybe,5,0.7032348804500703
Baseline CNN,49,Inocybe,Entoloma,5,0.7032348804500703
Baseline CNN,50,Inocybe,Exidia,5,0.7032348804500703
Baseline CNN,51,Cortinarius,Hygrocybe,5,0.7032348804500703
Baseline CNN,52,Cortinarius,Amanita,5,0.7032348804500703
Baseline CNN,53,Amanita,Entoloma,5,0.7032348804500703
Baseline CNN,54,Russula,Suillus,5,0.7032348804500703
Baseline CNN,55,Boletus,Inocybe,4,0.5625879043600562
Baseline CNN,56,Lactarius,Inocybe,4,0.5625879043600562
Baseline CNN,57,Hygrocybe,Suillus,4,0.5625879043600562
Baseline CNN,58,Exidia,Entoloma,4,0.5625879043600562
Baseline CNN,59,Entoloma,Agaricus,4,0.5625879043600562
Baseline CNN,60,Boletus,Amanita,4,0.5625879043600562
Baseline CNN,61,Russula,Hygrocybe,3,0.42194092827004215
Baseline CNN,62,Cortinarius,Inocybe,3,0.42194092827004215
Baseline CNN,63,Cortinarius,Entoloma,3,0.42194092827004215
Baseline CNN,64,Cortinarius,Exidia,3,0.42194092827004215
Baseline CNN,65,Exidia,Boletus,3,0.42194092827004215
Baseline CNN,66,Inocybe,Amanita,3,0.42194092827004215
Baseline CNN,67,Lactarius,Exidia,3,0.42194092827004215
Baseline CNN,68,Exidia,Cortinarius,3,0.42194092827004215
Baseline CNN,69,Russula,Exidia,2,0.2812939521800281
Baseline CNN,70,Entoloma,Suillus,2,0.2812939521800281
Baseline CNN,71,Inocybe,Hygrocybe,2,0.2812939521800281
Baseline CNN,72,Lactarius,Hygrocybe,2,0.2812939521800281
Baseline CNN,73,Boletus,Suillus,2,0.2812939521800281
Baseline CNN,74,Amanita,Exidia,2,0.2812939521800281
Baseline CNN,75,Agaricus,Inocybe,2,0.2812939521800281
Baseline CNN,76,Agaricus,Entoloma,2,0.2812939521800281
Baseline CNN,77,Agaricus,Boletus,2,0.2812939521800281
Baseline CNN,78,Hygrocybe,Entoloma,2,0.2812939521800281
Baseline CNN,79,Entoloma,Inocybe,2,0.2812939521800281
Baseline CNN,80,Boletus,Hygrocybe,2,0.2812939521800281
Baseline CNN,81,Entoloma,Exidia,2,0.2812939521800281
Baseline CNN,82,Suillus,Inocybe,2,0.2812939521800281
Baseline CNN,83,Suillus,Entoloma,2,0.2812939521800281
Baseline CNN,84,Suillus,Hygrocybe,2,0.2812939521800281
Baseline CNN,85,Inocybe,Agaricus,2,0.2812939521800281
Baseline CNN,86,Hygrocybe,Russula,2,0.2812939521800281
Baseline CNN,87,Agaricus,Exidia,1,0.14064697609001406
Baseline CNN,88,Amanita,Inocybe,1,0.14064697609001406
Baseline CNN,89,Amanita,Suillus,1,0.14064697609001406
Baseline CNN,90,Cortinarius,Agaricus,1,0.14064697609001406
Baseline CNN,91,Boletus,Entoloma,1,0.14064697609001406
Baseline CNN,92,Boletus,Exidia,1,0.14064697609001406
Baseline CNN,93,Exidia,Amanita,1,0.14064697609001406
Baseline CNN,94,Exidia,Russula,1,0.14064697609001406
Baseline CNN,95,Hygrocybe,Inocybe,1,0.14064697609001406
Baseline CNN,96,Entoloma,Hygrocybe,1,0.14064697609001406
Baseline CNN,97,Suillus,Amanita,1,0.14064697609001406
Resnet18_Corrected,1,Lactarius,Russula,55,9.632224168126093
Resnet18_Corrected,2,Cortinarius,Lactarius,33,5.779334500875657
Resnet18_Corrected,3,Russula,Lactarius,29,5.078809106830122
