model,class_name,auc
Baseline CNN,Agaricus,0.7808669508045066
Baseline CNN,Amanita,0.7855773877972768
Baseline CNN,Boletus,0.8680944023984497
Baseline CNN,Cortinarius,0.7344333983990798
Baseline CNN,Entoloma,0.6655495978552278
Baseline CNN,Exidia,0.9461567888078257
Baseline CNN,Hygrocybe,0.7637348417627919
Baseline CNN,Inocybe,0.785255968665735
Baseline CNN,Lactarius,0.7635626980534178
Baseline CNN,Russula,0.7753568008491687
Baseline CNN,Suillus,0.7101264418811003
ResNet18 Corrected,Agaricus,0.856890342617372
ResNet18 Corrected,Amanita,0.907712947685949
ResNet18 Corrected,Boletus,0.9481371796278015
ResNet18 Corrected,Cortinarius,0.84145142009775
ResNet18 Corrected,Entoloma,0.8371313672922251
ResNet18 Corrected,Exidia,0.9737273547012051
ResNet18 Corrected,Hygrocybe,0.9409568175096126
ResNet18 Corrected,Inocybe,0.8720353494597202
ResNet18 Corrected,Lactarius,0.8412358533272973
ResNet18 Corrected,Russula,0.8463650733215649
ResNet18 Corrected,Suillus,0.796787193138125
MobileNetV2,Agaricus,0.7874582879043183
MobileNetV2,Amanita,0.8645234404946419
MobileNetV2,Boletus,0.917699535665972
MobileNetV2,Cortinarius,0.799499145066352
MobileNetV2,Entoloma,0.7655751308566322
MobileNetV2,Exidia,0.9662950515069542
MobileNetV2,Hygrocybe,0.9378697131026323
MobileNetV2,Inocybe,0.8461137244867833
MobileNetV2,Lactarius,0.7439701222272521
MobileNetV2,Russula,0.8410520000461504
MobileNetV2,Suillus,0.7338065661047026
